reportid,age,race,type,charge,year,sex
100411412,30,Hispanic/Latino,Misdemeanor,Possession,2010,Male
100411942,19,Hispanic/Latino,Misdemeanor,Possession,2010,Male
17352,25,Hispanic/Latino,Misdemeanor,Possession,2014,Male
100413506,20,Hispanic/Latino,Misdemeanor,Possession,2010,Male
100413507,25,Hispanic/Latino,Misdemeanor,Possession,2010,Male
100414638,19,Hispanic/Latino,Misdemeanor,Possession,2010,Male
100415444,22,Hispanic/Latino,Misdemeanor,Possession,2010,Male
100418558,38,Hispanic/Latino,Misdemeanor,Possession,2010,Male
100500510,18,Hispanic/Latino,Misdemeanor,Possession,2010,Male
100500568,18,White,Misdemeanor,Possession,2010,Male
100500575,19,White,Misdemeanor,Possession,2010,Male
100500672,18,Black,Misdemeanor,Possession,2010,Male
100500687,24,Hispanic/Latino,Misdemeanor,Possession,2010,Male
100500690,21,Hispanic/Latino,Misdemeanor,Possession,2010,Male
100500726,25,Hispanic/Latino,Misdemeanor,Possession,2010,Male
100500779,21,Hispanic/Latino,Misdemeanor,Possession,2010,Male
100500847,38,Hispanic/Latino,Misdemeanor,Possession,2010,Male
100500865,27,Hispanic/Latino,Misdemeanor,Possession,2011,Male
100500877,20,White,Misdemeanor,Possession,2010,Male
100500933,18,Hispanic/Latino,Misdemeanor,Possession,2010,Male
90716756,22,Hispanic/Latino,Misdemeanor,Possession,2011,Male
100501156,22,Hispanic/Latino,Misdemeanor,Possession,2010,Male
100501170,18,Hispanic/Latino,Misdemeanor,Possession,2010,Male
100501176,19,Black,Misdemeanor,Possession,2010,Male
100501232,44,White,Misdemeanor,Possession,2010,Male
100501279,31,Hispanic/Latino,Misdemeanor,Possession,2010,Male
100501385,22,Black,Misdemeanor,Possession,2010,Male
100501392,37,White,Misdemeanor,Possession,2010,Male
100501519,21,Hispanic/Latino,Misdemeanor,Possession,2010,Male
100501526,34,Hispanic/Latino,Misdemeanor,Possession,2010,Male
100501529,19,Hispanic/Latino,Misdemeanor,Possession,2010,Male
100501764,38,Hispanic/Latino,Misdemeanor,Possession,2010,Male
100501842,49,Black,Misdemeanor,Possession,2010,Male
100501996,22,Black,Misdemeanor,Possession,2010,Male
100502020,26,Black,Misdemeanor,Possession,2010,Male
100502314,30,Hispanic/Latino,Misdemeanor,Possession,2010,Male
100502317,23,Hispanic/Latino,Misdemeanor,Possession,2010,Female
100502393,21,Hispanic/Latino,Misdemeanor,Possession,2010,Male
100502499,20,Hispanic/Latino,Misdemeanor,Possession,2010,Male
100502505,21,Hispanic/Latino,Misdemeanor,Possession,2010,Male
100502622,20,Hispanic/Latino,Misdemeanor,Possession,2010,Male
100502688,25,White,Misdemeanor,Possession,2010,Male
100502711,23,Hispanic/Latino,Misdemeanor,Possession,2010,Male
100502883,37,Hispanic/Latino,Misdemeanor,Possession,2010,Male
100502906,47,White,Misdemeanor,Possession,2010,Female
100503070,26,Hispanic/Latino,Misdemeanor,Possession,2010,Male
100504266,18,Hispanic/Latino,Misdemeanor,Possession,2010,Male
100504273,20,Hispanic/Latino,Misdemeanor,Possession,2010,Male
100505053,25,Hispanic/Latino,Misdemeanor,Possession,2010,Male
100505259,18,Hispanic/Latino,Misdemeanor,Possession,2010,Male
100505794,22,Hispanic/Latino,Misdemeanor,Possession,2010,Female
100505995,27,White,Misdemeanor,Possession,2010,Male
100506275,21,Black,Misdemeanor,Possession,2010,Male
100506426,18,Hispanic/Latino,Misdemeanor,Possession,2010,Male
100506805,18,Hispanic/Latino,Misdemeanor,Possession,2010,Male
100506814,19,Hispanic/Latino,Misdemeanor,Possession,2010,Male
100507182,22,Hispanic/Latino,Misdemeanor,Possession,2010,Male
100507596,31,Hispanic/Latino,Misdemeanor,Possession,2010,Male
100507633,24,Hispanic/Latino,Misdemeanor,Possession,2010,Male
100508039,26,Hispanic/Latino,Misdemeanor,Possession,2010,Male
100508113,18,Hispanic/Latino,Misdemeanor,Possession,2010,Female
100508327,20,Hispanic/Latino,Misdemeanor,Possession,2010,Male
100508799,26,Hispanic/Latino,Misdemeanor,Possession,2010,Male
100508801,18,Hispanic/Latino,Misdemeanor,Possession,2010,Male
100509060,18,Black,Misdemeanor,Possession,2010,Male
100509514,23,Hispanic/Latino,Misdemeanor,Possession,2010,Male
100509834,32,Hispanic/Latino,Misdemeanor,Possession,2010,Male
100509852,20,White,Misdemeanor,Possession,2010,Male
100509854,20,White,Misdemeanor,Possession,2010,Male
90701240,20,Black,Misdemeanor,Possession,2011,Female
100510188,49,White,Misdemeanor,Possession,2010,Male
100510420,24,Black,Misdemeanor,Possession,2010,Male
100511630,25,Black,Misdemeanor,Possession,2010,Male
100512028,19,Hispanic/Latino,Misdemeanor,Possession,2010,Male
100512906,20,Hispanic/Latino,Misdemeanor,Possession,2010,Male
100513740,23,Black,Misdemeanor,Possession,2010,Female
100514198,22,Hispanic/Latino,Misdemeanor,Possession,2010,Male
100514851,20,White,Misdemeanor,Possession,2010,Female
100515024,19,Hispanic/Latino,Misdemeanor,Possession,2010,Male
100515723,20,Hispanic/Latino,Misdemeanor,Possession,2010,Male
100516285,50,White,Misdemeanor,Possession,2010,Male
100516625,23,White,Misdemeanor,Possession,2010,Male
100516943,44,Other,Misdemeanor,Possession,2010,Female
100517087,22,Hispanic/Latino,Misdemeanor,Possession,2010,Male
100517481,19,Hispanic/Latino,Misdemeanor,Possession,2010,Male
100518645,18,Hispanic/Latino,Misdemeanor,Possession,2010,Male
100518674,28,Other,Misdemeanor,Possession,2010,Male
90712485,62,Hispanic/Latino,Misdemeanor,Possession,2011,Male
100519353,30,White,Misdemeanor,Possession,2010,Male
100519807,52,Hispanic/Latino,Misdemeanor,Possession,2010,Male
100520052,37,White,Misdemeanor,Possession,2010,Male
100520569,20,Hispanic/Latino,Misdemeanor,Possession,2010,Male
100521473,19,Hispanic/Latino,Misdemeanor,Possession,2010,Male
90714177,34,Black,Misdemeanor,Possession,2011,Male
